id;Label;Structure;Hemisphere
0;Unknown;;None
2;Left-Cerebral-White-Matter;White_Matter;Left
3;Left-Cerebral-Cortex;Cortex;Left
4;Left-Lateral-Ventricle;Ventricle_CSF;Left
5;Left-Inf-Lat-Vent;Ventricle_CSF;Left
7;Left-Cerebellum-White-Matter;White_Matter;Left
8;Left-Cerebellum-Cortex;Cerebellum;Left
10;Left-Thalamus;Subcortical_Deep_Gray;Left
11;Left-Caudate;Subcortical_Deep_Gray;Left
12;Left-Putamen;Subcortical_Deep_Gray;Left
13;Left-Pallidum;Subcortical_Deep_Gray;Left
14;3rd-Ventricle;Ventricle_CSF;None
15;4th-Ventricle;Ventricle_CSF;None
16;Brain-Stem;Brainstem;None
17;Left-Hippocampus;Subcortical_Deep_Gray;Left
18;Left-Amygdala;Subcortical_Deep_Gray;Left
24;CSF;Ventricle_CSF;None
26;Left-Accumbens-area;Subcortical_Deep_Gray;Left
28;Left-VentralDC;Subcortical_Deep_Gray;Left
41;Right-Cerebral-White-Matter;White_Matter;Right
42;Right-Cerebral-Cortex;Cortex;Right
43;Right-Lateral-Ventricle;Ventricle_CSF;Right
44;Right-Inf-Lat-Vent;Ventricle_CSF;Right
46;Right-Cerebellum-White-Matter;White_Matter;Right
47;Right-Cerebellum-Cortex;Cerebellum;Right
49;Right-Thalamus;Subcortical_Deep_Gray;Right
50;Right-Caudate;Subcortical_Deep_Gray;Right
51;Right-Putamen;Subcortical_Deep_Gray;Right
52;Right-Pallidum;Subcortical_Deep_Gray;Right
53;Right-Hippocampus;Subcortical_Deep_Gray;Right
54;Right-Amygdala;Subcortical_Deep_Gray;Right
58;Right-Accumbens-area;Subcortical_Deep_Gray;Right
60;Right-VentralDC;Subcortical_Deep_Gray;Right
